t_id,probability
13843,0.5248953153292157
13677,0.5217569133340162
547,0.5151736554314345
11848,0.4940930460901266
17231,0.5586740790529389
969,0.5226197244380946
16249,0.5299663602361981
14812,0.4711596455063135
6897,0.4851380497951204
11019,0.5147713845255819
10026,0.4947811581832979
741,0.4983544285537356
10751,0.5112162409673963
3528,0.5179811623446687
16563,0.5058168093825965
4057,0.512095325089743
12188,0.5162384084364661
15178,0.4874370491538586
523,0.5199287186647521
8068,0.5077511072203283
12672,0.4728086890018672
16117,0.5266992400225815
1058,0.5222708181239556
12119,0.4987112885516218
17408,0.5401456582416332
17709,0.4945561279497366
11257,0.470631116378744
18633,0.5068864645746203
7972,0.4972415563509709
16657,0.5043574567571649
3124,0.5203654940471085
13091,0.5140439000636514
4161,0.5160762825539368
7783,0.4278687482521969
16742,0.5423100833247089
2463,0.4996356250301424
16705,0.5045611216529223
3590,0.5106762729445933
18731,0.5295482953581602
13159,0.4779677556681096
2357,0.5191032765673839
17853,0.5201923004076098
9671,0.4755339094888769
1982,0.525539471378746
17111,0.5284331880706065
17606,0.5777700910676474
9978,0.5296398067474243
18845,0.5197950133285261
15360,0.5172557876395495
12051,0.5631608503638907
8825,0.5351297764311943
4703,0.4938155319680551
12710,0.4822426898230368
13728,0.4819138031858962
11633,0.5188313184542847
12215,0.496971162870011
3256,0.507021761620159
17210,0.5232828403230682
1667,0.536137078201342
11643,0.4814973944682384
582,0.4980594204500402
18680,0.5253869387501818
15527,0.5169767823767005
12641,0.4730809775277229
16845,0.4914846766273328
1894,0.5010731491788952
14875,0.5201991366777003
12280,0.5206110214763356
6061,0.5233796154002363
18242,0.4920723485333075
13221,0.5357893956421806
13416,0.5420589644499095
2306,0.5384454149859748
18154,0.519186538184996
6917,0.5100885807533787
3069,0.5000525690710005
5520,0.5127258962250827
7250,0.5211439749175237
17680,0.5166324474032841
13456,0.5009940889498835
4342,0.5028370181119497
14335,0.5111805750987897
19259,0.5008378696155371
16272,0.5205588175303903
17605,0.5128715649146369
11797,0.4848977328353592
13941,0.5471780135978127
6108,0.5082619245319677
8761,0.4815919384163406
19123,0.5235209966344108
1922,0.4917968791036633
19117,0.5276119842362261
3769,0.528290236807427
4163,0.4958479997177533
15093,0.521755338251031
5048,0.5052146113176958
1582,0.4912083294574383
8576,0.5225734122850796
10469,0.5206929956401298
14292,0.5314928134642345
6449,0.5244753444431611
692,0.49843828946430796
10835,0.5049086067256965
67,0.5108669992791046
3986,0.4791501663798745
8924,0.4851291914303923
5729,0.4943285760468998
10899,0.5312432132925817
10761,0.5256663840275143
19034,0.5148840173460644
9860,0.4990812398826677
10780,0.5257216777635891
19299,0.523575284079102
12534,0.5354312517375006
12773,0.529526771856431
2009,0.4958988112359758
11514,0.5197145041497803
1838,0.5309041691133359
5871,0.5350466708848189
8093,0.5118013399165556
6150,0.5172511771651308
17774,0.5191812232217009
10616,0.5129969584442523
17609,0.5434523650086605
17607,0.5187543991316415
56,0.5323624315520427
7791,0.5252319578309552
6272,0.5332515769197171
14126,0.5093340678941928
9769,0.4785141943804437
1502,0.5002892712742891
8423,0.5259729041028283
6173,0.5139647214279812
17845,0.5133299065267702
1541,0.4961469051104122
13900,0.5352437795251891
2230,0.5076111817370016
6424,0.4956692154487856
17886,0.5011326940230098
